Pressure (V),Centroid (Ch),FWHM (Ch),Rate (cps)
-0.024,929.29,4.9326,20.55
0.504,918.08,5.1674,20.54
1.011,906.88,5.852,20.03
1.502,895.99,6.5967,19.7
2.023,884.51,6.8705,19.77
2.508,873.09,7.4865,19.42
3.004,861.99,7.5432,19.4
3.513,850.32,8.1131,19.33
4.006,838.6,8.4875,19.85
4.509,827.41,9.2813,19.38
5.006,815.35,9.5897,19.65
5.501,803.61,10.3243,19.23
